06-28 07:41 __main__     INFO     configs
06-28 07:41 __main__     INFO     {'abs_selection': False,
 'abs_t_list': True,
 'control_type': 'type_3_global',
 'd': 40,
 'dag_control': 'None',
 'dagma_type': 'dagma_1',
 'device': 'cuda:7',
 'est_type': 'tau+',
 'fdr': 0.2,
 'graph_type': 'ER',
 'log_file': 'log_30/log_40',
 'n': 2000,
 'numeric': False,
 'numeric_precision': '1e-1',
 'root_path': 'simulated_data/v11',
 's0': 160,
 'seed_X': 1,
 'seed_knockoff_list': [1,
                        2,
                        3,
                        4,
                        5,
                        6,
                        7,
                        8,
                        9,
                        10],
 'seed_model_list': [0],
 'sem_type': 'gauss',
 'version': 40}

06-28 07:41 utils        DEBUG    load X with seed 1 in simulated_data/v11/v40/X
06-28 07:41 __main__     INFO     knockoff: 1 | model: 0
06-28 07:41 utils        DEBUG    load W with seed 1_0 in simulated_data/v11/v40/W
06-28 07:41 fdr_control  INFO     ==============================
06-28 07:41 fdr_control  INFO     expected FDR 0.2
06-28 07:41 fdr_control  DEBUG    thresh 2.0239 | est fdr 1.0000 | true fdr 0.0000 | true power 0.0063
06-28 07:41 fdr_control  DEBUG    thresh 1.9644 | est fdr 0.5000 | true fdr 0.0000 | true power 0.0125
06-28 07:41 fdr_control  DEBUG    thresh 1.9217 | est fdr 0.3333 | true fdr 0.0000 | true power 0.0187
06-28 07:41 fdr_control  DEBUG    thresh 1.8866 | est fdr 0.2500 | true fdr 0.0000 | true power 0.0250
06-28 07:41 fdr_control  DEBUG    thresh 1.8710 | est fdr 0.2000 | true fdr 0.0000 | true power 0.0312
06-28 07:41 fdr_control  DEBUG    thresh 1.8656 | est fdr 0.1667 | true fdr 0.0000 | true power 0.0375
06-28 07:41 fdr_control  DEBUG    thresh 1.8531 | est fdr 0.1429 | true fdr 0.0000 | true power 0.0437
06-28 07:41 fdr_control  DEBUG    thresh 1.8526 | est fdr 0.1250 | true fdr 0.0000 | true power 0.0500
06-28 07:41 fdr_control  DEBUG    thresh 1.8237 | est fdr 0.1111 | true fdr 0.0000 | true power 0.0563
06-28 07:41 fdr_control  DEBUG    thresh 1.8105 | est fdr 0.1000 | true fdr 0.0000 | true power 0.0625
06-28 07:41 fdr_control  DEBUG    thresh 1.8070 | est fdr 0.0909 | true fdr 0.0000 | true power 0.0688
06-28 07:41 fdr_control  DEBUG    thresh 1.7792 | est fdr 0.0833 | true fdr 0.0000 | true power 0.0750
06-28 07:41 fdr_control  DEBUG    thresh 1.7631 | est fdr 0.0769 | true fdr 0.0000 | true power 0.0813
06-28 07:41 fdr_control  DEBUG    thresh 1.7604 | est fdr 0.0714 | true fdr 0.0000 | true power 0.0875
