07-07 10:19 fdr_control  DEBUG    thresh 0.5516 | est fdr 2.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.4467 | est fdr 3.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.4073 | est fdr 4.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.4059 | est fdr 5.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3797 | est fdr 6.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3708 | est fdr 7.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3466 | est fdr 8.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3421 | est fdr 9.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3414 | est fdr 10.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3314 | est fdr 11.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3294 | est fdr 12.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.3070 | est fdr 13.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2969 | est fdr 14.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2855 | est fdr 15.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2841 | est fdr 16.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2790 | est fdr 17.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2732 | est fdr 18.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2705 | est fdr 19.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2686 | est fdr 20.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2600 | est fdr 21.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2588 | est fdr 22.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2584 | est fdr 23.0000 | true fdr 0.0000 | true power 0.0000
07-07 10:19 fdr_control  DEBUG    thresh 0.2566 | est fdr 24.0000 | true fdr 0.0000 | true power 0.0000
